Destination,Prefix,First Increment,Second Increment,Rate
AFGHANISTAN - CDMA,9375,30,6,0.2766
AFGHANISTAN - HERAT,9340,30,6,0.2897
AFGHANISTAN - JALALABAD,9360,30,6,0.2897
AFGHANISTAN - KABUL,9320,30,6,0.2897
AFGHANISTAN - KANDAHAR,9330,30,6,0.2897
AFGHANISTAN - MAZAR-E-SHARIF,9350,30,6,0.2897
AFGHANISTAN - MOBILE,937,30,6,0.2766
AFGHANISTAN - MOBILE - AREEBA,9377,30,6,0.2841
AFGHANISTAN - MOBILE - AWCC,9370,30,6,0.2773
AFGHANISTAN - MOBILE - OTHER CARRIERS,9378,30,6,0.2773
AFGHANISTAN - MOBILE - ROSHAN,9379,30,6,0.2773
AFGHANISTAN - PREMIUM,9380,30,6,0.2897
AFGHANISTAN - PROPER,93,30,6,0.2897
ALBANIA - MOBILE - AMC,35538,30,6,0.3823
ALBANIA - MOBILE - AMC,35568,30,6,0.3836
ALBANIA - MOBILE - EAGLE,35567,30,6,0.3823
ALBANIA - MOBILE - VODAFONE,35569,30,6,0.3836
ALBANIA - PROPER,355,30,6,0.2977
ALBANIA - TIRANE,3554,30,6,0.2977
ALBANIA - TIRANE,35545,30,6,0.0446
ALBANIA - TIRANE,35546,30,6,0.0446
ALBANIA - TIRANE,35543,30,6,0.0446
ALBANIA - TIRANE,35544,30,6,0.0446
ALBANIA - TIRANE,35542,30,6,0.0446
ALBANIA - TIRANE,35541,30,6,0.0446
ALGERIA - ALGIERS,21321,30,6,0.1069
ALGERIA - CAT,21399,30,6,0.1784
ALGERIA - CAT,21398,30,6,0.1784
ALGERIA - CAT,2136,30,6,0.1784
ALGERIA - CAT,2131,30,6,0.1784
ALGERIA - CAT,21396,30,6,0.1784
ALGERIA - CAT,21397,30,6,0.1784
ALGERIA - MOBILE - MOBILIS,213697,30,6,0.1784
ALGERIA - MOBILE - MOBILIS,21366,30,6,0.1784
ALGERIA - MOBILE - MOBILIS,213699,30,6,0.1784
ALGERIA - MOBILE - MOBILIS,213698,30,6,0.1784
ALGERIA - MOBILE - ORASCOM,21391,30,6,0.2057
ALGERIA - MOBILE - ORASCOM,2137,30,6,0.2057
